"","name","street","city"
"247","Taco Bell","6210 Winchester Rd","Memphis, TN, 38115"
"248","Taco Bell","4655 Riverdale Rd","Memphis, TN, 38141"
"249","Taco Bell","1279 Ridgeway Rd","Memphis, TN, 38119"
"250","Taco Bell","2183 Frayser Blvd","Memphis, TN, 38127"
"251","Taco Bell","2702 S Perkins Rd","Memphis, TN, 38118"
"252","Taco Bell","826 S Third","Memphis, TN, 38106"
"253","Taco Bell","7964 Winchester Rd","Memphis, TN, 38125"
"254","Taco Bell","3378 Poplar Ave","Memphis, TN, 38111"
"255","Taco Bell","5320 Knight Arnold Rd","Memphis, TN, 38118"
"256","Taco Bell","1740 Sycamore View Road","Memphis, TN, 38134"
"257","Taco Bell","911 Estate Dr","Memphis, TN, 38119"
"258","Yao's China Bistro","113 S Main St Ste 101","Memphis, TN, 38103"
"259","Mulan Asian Bistro East","4698 Spottswood Ave","Memphis, TN, 38117"
"260","Soul'z Cafe","547 S Parkway E","Memphis, TN, 38106"
"261","Taco Bell","1447 Union Ave","Memphis, TN, 38104"
"262","Taco Bell","3569 Democrat Rd","Memphis, TN, 38118"
"263","Replenish","2965 N Germantown Rd, Ste 115","Memphis, TN, 38133"
"264","Staks Pancake Kitchen","4615 Poplar Ave","Memphis, TN, 38117"
"265","Buffalo Wild Wings","3770 Hack's Cross Rd","Memphis, TN, 38125"
"266","The Chicken Coop","6665 Winchester Rd.","Memphis, TN, 38115"
"267","Buffalo Wild Wings","8385 US Highway 64","Memphis, TN, 38133"
"268","All Star Hot Wings","4091 Summer Ave","Memphis, TN, 38122"
"269","Safeway Market","4046 Horn Lake Rd","Memphis, TN, 38109"
"270","Low Fi Coffee","387 South Main Street","Memphis, TN, 38103"
"271","Railgarten","2166 Central Ave","Memphis, TN, 38104"
"272","Mulan Asian Bistro","2149 Young Ave","Memphis, TN, 38104"
"273","Tin Roof","315 Beale Street","Memphis, TN, 38103"
"274","Church?s Chicken","4941 Lamar Ave","Memphis, TN, 38118"
"275","Arnold's Bar-B-Que & Grill","337 Madison Avenue","Memphis, TN, 38103"
"276","Chester's Chicken","135 South Main Street","Memphis, TN, 38103"
"277","Iowa Steak Co.","1679 Shelby Oaks Drive","Memphis, TN, 38134"
"278","Yep!! Its A Burger","3521 Airways Boulevard","Memphis, TN, 38116"
"279","Hu. Diner","79 Madison Avenue","Memphis, TN, 38103"
"280","Hootie's Bait & Tackle","2838 New Brunswick Rd","Memphis, TN, 38133"
"281","Sam's Main Street Eatery","7 N Main St","Memphis, TN, 38103"
"282","Marciano","780 East Brookhaven Circle","Memphis, TN, 38117"
"283","Come Back Coffee","358 North Main Street","Memphis, TN, 38103"
"284","Whimsy Cookie Co.","4704 Poplar Ave","Memphis, TN, 38117"
"285","Burger King","2912 Hickory Hill Rd","Memphis, TN, 38115"
"286","Popeyes","2235 Lamar Ave","Memphis, TN, 38114"
"287","Broadway Pizza East","629 South Mendenhall Road","Memphis, TN, 38117"
"288","Emilio's Grocery","2757 Getwell Road","Memphis, TN, 38118"
"289","Foozi","5050 Poplar Avenue","Memphis, TN, 38137"
"290","Starbucks","110 Monroe Avenue","Memphis, TN, 38103"
"291","Holy Cow Kosher Restaurant","6560 Poplar Avenue","Memphis, TN, 38138"
"292","El Porton - Poplar Plaza","3448 Poplar Ave","Memphis, TN, 38111"
"293","Pyro?s Fire Fresh Pizza","2035 Union Ave","Memphis, TN, 38104"
"294","Memphis Best Wings","5144 Riverdale Road","Memphis, TN, 38141"
"295","Renee's Sandwich Shop","202 GE Patterson Avenue","Memphis, TN, 38103"
"296","Tim's Chicken","6496 Winchester Road","Memphis, TN, 38115"
"297","McDonald's","614 South Highland Street","Memphis, TN, 38111"
"298","Church's Chicken","2304 Chelsea Ave","Memphis, TN, 38108"
"299","Church's Chicken","2237 Frayser Blvd","Memphis, TN, 38127"
"300","ElectroLyfe Juice Bar Inc.","4466 Elvis Presley Blvd Ste 164","Memphis, TN, 38116"
"301","Parkway Fishmarket","600 S Parkway E","Memphis, TN, 38106"
"302","Taqueria Express","2841 South Perkins Road","Memphis, TN, 38118"
"303","Ms. Girlee's Soul Food Restaurant","629 Chelsea Avenue","Memphis, TN, 38107"
"304","Downtown Soul-","200 Poplar Avenue","Memphis, TN, 38103"
"305","Allstars Hot Wings","3228 Thomas Street","Memphis, TN, 38127"
"306","El Sabor Latino","665 Avon Road","Memphis, TN, 38122"
"307","Captain JJ's Fish & Chicken","1964 South 3rd Street","Memphis, TN, 38109"
"308","Yogurt Mountain Memphis","5865 Poplar Ave","Memphis, TN, 38119"
"309","S & S Bbq","4637 Boeingshire Drive","Memphis, TN, 38116"
